,title,time,content
0,A市西湖建筑集团占道施工有安全隐患,2020/1/6 12:09:38,"
					
					A3区大道西行便道，未管所路口至加油站路段，人行道包括路灯杆，被圈西湖建筑集团燕子山安置房项目施工围墙内。每天尤其上下班期间这条路上人流车流极多，安全隐患非常大。强烈请求文明城市A市，尽快整改这个极不文明的路段。
					
					
				"
1,A市在水一方大厦人为烂尾多年，安全隐患严重,2020/1/4 11:17:46,"
					
					位于书院路主干道的在水一方大厦一楼至四楼人为拆除水、电等设施后，烂尾多年，用护栏围着，不但占用人行道路，而且护栏锈迹斑斑，随时可能倒塌，危机过往行人和车辆安全。请求有关部门牵头处理。
					
					
				"
2,A3区杜鹃文苑小区外的非法汽车检测站要开业了！,2018/12/26 10:13:37,"
					
					A市政府、市交警支队、市安监局、市环保局、A3区政府：我们是A市A3区杜鹃文苑小区的业主，因为涉及到严重安全问题，我们不得不通过网上写信的方式向你们反映一件极可能引发安全事故的大事。在杜鹃路和雷峰大道交界处，也就是杜鹃文苑小区外，一家汽车检测站正在紧密锣鼓的装修施工，不日即将开门营业。在此，我们疾呼相关部门前来调查并关闭这家汽车检测站。按道理来说，家门口就有汽车检测站是一件好事情，为何我们我们要强烈反对，并且通过网上举报的形式来反对这家汽车检测站呢？第一，这家汽车检测站租用的场地属于危房，明显不符合相关法律规定的检测站场地规定。国家法律明文规定：汽车检测站的检测间应宽敞、明亮、整洁，通风、排水、照明设备良好，工艺布局合理，安全防护设施齐全；检测站停车场地，不得小于检测间面积。这家汽车检测站竟然租赁一栋危房进行汽车检测站的改造，这是拿车主的生命和车辆的安全当儿戏，更是拿A市安全生产制度来开玩笑！试问：危房开设的汽车检测站出了事故怎么办？第二，这家汽车检测站尚未办理任何手续。我们咨询交警得知，办机动车辆检测站需要到下列部门办理相关手续：工商行政管理局：营业执照；技术监督局：组织机构代码证，仪器设备检定（省级）；水务局：税务登记证；交通厅：《检测许可证》；物价局：收费许可证；环保局：环评报告、环保证。据了解，这家汽车检测站还没有办理上述证件。据里面的人透露，此家汽车检测站的老板曾向工作人员夸下海口，称自己已出钱寻找中间公司到各个部门公关，一边上马一边办证。真假不得而知，但是我们希望交警、交通、工商等多个部门可以依法办事，不能违规办事。第三，该场地进出口道路狭窄，完全不具备开设检测站的条件，如果开设汽车检测站，百分之百会造成拥堵，存在严重的安全隐患。周边居民的安全何在？第四，该汽车检测站会造成污染，周边居民的环境受到极大的影响。大家都知道，汽车检测包括主要的一项就是尾气检测，这些污染不仅破坏环境，更会毒害居民。还有噪音也是，这是在逼着我们居民去环保局信访吗？尊敬的A市政府及市交警支队、市安监局、市环保局的领导：试问这样的汽车检测站能不能开业？这样的汽车检测站为何可以无证违建？这样的汽车检测站为何还不扼杀在事故未发非法无证生之前？一个非法、无证、制造污染、引起安全隐患的汽车检测站为何可以施工至今？！我们期望A市政府及市交警支队看到我们的投诉后，能够积极行动，立即叫停正在装修的检测站，并依法叫停非法无证汽车检测站。
					
					
				"
3,民工在A6区明发国际工地受伤，工地方拒绝支付医疗费,2018/7/17 7:13:58,"
					
					胡书记，您好，感谢您百忙之中查看这份留言。我的父亲5.1在A6区金星北路明发国际工地工作，5.7在工地进行施工时，发生泥土塌方，受伤，至今仍在治疗期间，工地现在拒绝支付医疗费用，并且态度恶劣。工地的安全生产问题，得深究。另我为我的父亲维权，也为民工维权，希望民工在工地工作能够得到应有的保护。希望能够得到政府的帮助。感谢！
					
					
				"
4,K8县丁字街的商户乱摆摊,2017/10/14 14:25:14,"
					
					　　K8县丁字街的商户乱摆摊，前段时间丁字街的交通好了几天，最近那些在丁字街做生意的商户又开始把商品摆到路中间来卖了，严重影响了这条街的交通，连摩托车都不能正常的通过，城管局的领导就不能制定一个措施来制止这种形为吗？
					
					
				"
5,K8县南门街干净整洁了几天，又是老样子了,2017/9/23 22:30:20,"
					
					　　南门街前段时间经过整改劝阻摆摊占道的情况改善了很多，但是情况好了几天又慢慢的和以前一样了，只要有人带头 后面慢慢又摆出来，很多商户现在干脆用钩子把一些货物挂门口屋檐下的电线上，上有政策下就有对策，城管来检查就稍微好点，城管一走又摆出来又是老样子，希望有关部门采取强硬点的措施，每次都不痛不痒的整治一下根本起不到什么效果。现在二小门口那条路也成了马路市场了，卖小菜.卖鱼的.卖水果的成堆了。
					
					
				"
6,K8县冷江东路蓝波旺酒店外墙装修无人施工,2017/4/27 17:28:49,"
					
					　　现K8县冷江东路蓝波旺酒店前面的外墙装修搭着架子无人施工路政已在酒店门口搞了三个多月了严重影响了酒店的正常营业，酒店找了施工队的人员了解情况什么时间可以搞好给我们一个正常的营业没有一个施工人员可以给我们答复，酒店每月的房租就是三万多加上工资水电等等费用一个月就十几万酒店已经三个月没有正常营业了这些损失酒店已经无法 承受了，望有关部门弥补我们的损失给我们一个正常的营业   
					
					
				"
7,K8县九亿广场的公厕要安装照明灯,2012/10/10 16:50:40,"
					
					　　九亿广场是城区人民休闲娱乐的主要场所，景观点也很漂亮，每到晚上很多人到那里去玩耍．但是唯有两个公厕却没有灯．黑黑的，有些就在外面附近大小便，这样影响非常不好，如果说灯不好管理，完全可以和景观灯并网，同时开关．希望能及时解决好，谢谢！ 
					
					
				"
8,K4县石期市镇老农贸市场旁边的公厕（旱厕）里面脏、乱、差,2019/3/5 10:16:09,"
					
					石期市镇老农贸市场旁边的公厕（旱厕）里面脏、乱、差，臭气熏天，老百姓上个厕所无从下脚。公厕长年无人管理，漏雨，已成危房。这座旱厕，不仅仅是气味难闻，到了夏天蚊蝇乱飞，更重要的是安全卫生隐患大。石期市要发展，公厕要革命，希望领导真抓实干，给个确切的回复，让广大民众用上干净卫生的公厕。（希望网友们多多关注此问题。）
					
					
				"
9,K市域轨道交通规划建议,2017/3/15 20:50:40,"
					
					　　李书记您好，感谢您的阅读。十二五期间，非省会地级市的轨道交通规划与建设已经席卷而来。截止到2016年2月，全国一共有40个城市已经获批轨道交通建设（未含有轨电车规划）。　　截止去年9月，绍兴和洛阳也获批城市轨道交通规划。此外，截止2016年底，全国已经规划轨道交通但暂未获批的城市已达80个。此外，全国大多数省份还有很大数目的城市已经开始筹备规划轨道交通。　　而在A市磁浮快线成功开通运营以后， 西地省内大部分市州都开始着手规划磁浮轨道交通，在楚江新区重点工程项目建设中，A市-C5市，H市，F市机场-F市楼，均已进入前期工作。长株潭城际（B市河西段），J市磁浮快线等也已进入规划审批阶段。此外，G市，D市，L市，I市，M6州，E市均已经进入城市轨道交通规划的前期工作，包括与中铁设计院专家的交流。　　轨道交通，-规划-建设-运营- 要经过长时间，多次，多方的论证，和一个合适，合理的资金渠道，才能最终实现。因此，轨道交通的规划，必须要有前瞻性，规划的时间，必须要提前与发展的进程。　　西地省内提出轨道交通规划和建设的城市已经有12个之多：　　A市 地级市，省会　　已开通运营轨道交通4条线（含磁浮快线，城际铁路），在建4条线，总共规划12条地铁和2条城际铁路　　B市 地级市，长株潭城市群中心城市之一　　已开通运营轨道交通1条线，长株潭城际线，规划3条线（含一条磁浮快线）　　C市 地级市，长株潭城市群中心城市之一　　已开通轨道交通1条线，长株潭城际线，规划2条地铁，2条磁浮快线（长韶磁浮快线，株潭城际线）　　G市，地级市，楚北中心城市　　初期规划一条地铁，前期，未审批，项目属于G市轨道交通公司。　　D市，地级市，楚南中心城市　　初期规划3条地铁，前期，未审　　F市，地级市，长江沿岸重要城市　　规划磁浮快线1条（F市机场-F市楼），前期，未审批。　　J市，地级市，楚南示范区重要城市　　规划磁浮快线2条，郴资永线，前期，已通过住建厅审批，待下一步审批　　E市，地级市　　规划地铁和轻轨（雪峰山旅游轻轨），铁四院前期设计。　　L市，地级市，M6州区域中心　　规划地铁2条，前期　　H市，地级市，国际性旅游城市　　规划磁浮快线1条，已通过审批，项目属H市磁浮公司，待建。　　M6州州，少数民族自治州，地级，旅游城市　　规划M7市轨道交通，前期。　　I市，地级市，　　规划轨道交通线路，含长株潭城际铁路，待建。　　其中https://baidu.com/公里，总投资152.8亿元。J市磁浮快线（郴资永线）投资156.6亿元，均为既涵盖了各景区与主要交通枢纽，又兼顾了城区内出行客流。　　按照K市潇楚城市群协调发展规划（2015-2040）（市住建局发布）至规划期末，将潇楚城市群打造成拥有340万城镇人口，城镇建设用地340平方公里，年GDP总量达3500亿以上的生态型的城市群。使之成为西地省“一带一部”战略中对接东盟和两广地区绿色化发展的重要的城市群。根据规划中的第十点综合交通规划，迁移原机场，规划的新K市K1区机场位于K市与K4县之间的杨家桥街道。城际铁路规划中，预留D市、J市、E市等城市间的城际铁路，规划在潇楚城市群修建“十”字型城际铁路。其中，横向修建K3县——K市中心城市——K4县城际轨道，纵向修建芦洪市——K市中心城市——K5县城际轨道。考虑K1区机场、火车站等重大交通设施接入城际铁路。　　根据市中心城区规划，K市中心城区建成区将沿楚江两岸分布，南北长达40公里，东西长7公里，中心城区居民出行范围将大幅增加，单一的公共交通方式会有对居民的出行有很大的局限性，不利于促进城镇化的发展。考虑到潇楚城镇群总体发展规划，建议将北部城镇通过城际轻轨或磁浮快线等中运量快速轨道交通方式与中心城区连接，并与中心城区轨道交通串联，形成K市域轨道交通网络，服务K市未来发展的需求。　　轨道交通从规划到建成不是一个短期的过程，因此轨道交通的规划，必须要提早于城市的发展，并考虑到中长期城市规划发展。考虑到建设轨道交通资金问题，建议不应该合理规划，不应盲目采用大运量轨道交通模式。　　建议规划K市域轨道交通5条：如图中所示（包括线路和站点）　　https://baidu.com/　　1号线（红线）K市火车站-南津渡（因与正在建设的BRT线重合，前期可利用BRT替代，规划后期可采用大运量轨道交通模式，如地铁）　　规划的1号线穿过河西K1区中路商圈，河东商圈，文化体育片区，K市汽车北站，岚角山街道，晓深塘中心汽车站，K市学院，K1区新城和K1区商圈，并在K市汽车北站与K4县-中心城区-森林植物园-K3县轨道交通换乘，为潇楚城镇群楚江东岸南北主骨架，建议采用中或大运量轨道交通模式，如地铁或跨座式轻轨。　　2号线（蓝线）马坪-两中心，预留北延线至芦洪市镇。　　规划的2号线北起马坪经开区，沿M9县路穿越M9县园，串联起整个K1区中路商圈，并在K1区中路站（红太阳广场，潇楚步行街处）与一号线换乘。沿K1区路往南，穿越仁湾新城，K市经开区，在蔡市街道与三号线磁浮快线换乘可至K1区古城景区，跨楚江至楚江东岸，最终与一号线在两中心站换乘。2号线不仅起到了串联K1区中路商圈的作用，还最大程度上串联起整个轨道交通网络。建议采用中运量轨道交通模式，如跨座式轻轨。　　3号线（紫线）K市火车站-K1区火车站　　在楚江西岸规划磁浮快线，连接K市火车站，K市经开区，汽车公园，迁建规划中的K市机场，蔡市街道，巴洲，潇楚古镇，萍洲书院，K1区古城景区（柳子庙，东山，西山等），最终到达K1区火车站，是一条黄金旅游轨道交通线路。不仅能带动K市城区旅游发展，还能提高K市旅游品牌的知名度，更作为楚江西岸连接两个火车站一机场多个旅游景点，与四条轨道交通换乘的骨架带动滨江新城楚江西岸的发展。　　4号线（橙线）陶竹广场-森林植物园-K市机场　　4号线为潇楚城镇群冷祁之间的主骨架，串联起K3县城区，浯溪公园，茅竹镇，竹山桥镇，森林植物园，K市汽车北站，K市机场。并且在上岭桥站与冷东轨道交通换乘可达河东商圈，K4县。在汽车北站（马路湾）与一号线换乘可达K市火车站和K1区，与二号线直接换乘可达K市K1区中路商圈，马坪开发区和滨江新城楚江西岸区域，与磁浮快线换乘可达K1区古城景区。　　考虑到该线路客流类别明显（兼顾城际和中心城区内），为了最大程度上优化4号线的运营，建议前期培育客流时设置区间车模式，在上岭桥站，森林植物园站，陶竹广场站，K市机场站，分别设始发终到站（开行陶竹广场-K市机场，陶竹广场-上岭桥（换乘五号线专用），森林植物园-上岭桥）并在上岭桥站与五号线设置同台换乘（参考杭州地铁换乘模式）　　5号线（绿线）K4县-上岭桥　　5号线为潇楚城镇群冷东之间的骨架，串联起K4县城区，井头圩镇，K市经开区，宋洲家，滨江风光带，河东商圈，市政府，中心医院，以及上岭桥区域。可与三号线换乘将K4县客流引入K1区古城，K市机场和K市火车站；可与二号线换乘将客流引入K1区中路商圈，M9县园，滨江新城；可与一号线换乘将客流引入滨江新城，中心汽车站和K1区城区，并与四号线换乘至K3县和森林植物园。建议采用中运量轨道交通方式，如跨座式轻轨，磁浮快线等。　　地图标注链接 https://baidu.com/
					
					
				"
